"","tconst","Name","Year","Film","genres"
"1","tt0018578","Wings","1928","Paramount Famous Lasky","Action,Drama,Romance"
"2","tt0019729","The Broadway Melody","1929","Metro-Goldwyn-Mayer","Drama,Musical,Romance"
"3","tt0020629","All Quiet on the Western Front","1930","Universal","Drama,War"
"4","tt0021746","Cimarron","1931","RKO Radio","Drama,Western"
"5","tt0022958","Grand Hotel","1932","Metro-Goldwyn-Mayer","Drama,Romance"
"6","tt0023876","Cavalcade","1933","Fox","Drama,Romance,War"
"7","tt0025316","It Happened One Night","1934","Columbia","Comedy,Romance"
"8","tt0026752","Mutiny on the Bounty","1935","Metro-Goldwyn-Mayer","Adventure,Biography,Drama"
"9","tt0027698","The Great Ziegfeld","1936","Metro-Goldwyn-Mayer","Biography,Drama,Musical"
"10","tt0029146","The Life of Emile Zola","1937","Warner Brothers","Biography,Drama"
"11","tt0030993","You Can't Take It with You","1938","Columbia","Comedy,Drama,Romance"
"12","tt0031381","Gone with the Wind","1939","Selznick International Pictures","Drama,History,Romance"
"13","tt0032976","Rebecca","1940","Selznick International Pictures","Drama,Mystery,Romance"
"14","tt0033729","How Green Was My Valley","1941","20th Century-Fox","Drama,Family"
"15","tt0034583","Casablanca","1943","Warner Brothers","Drama,Romance,War"
"16","tt0035093","Mrs. Miniver","1942","Metro-Goldwyn-Mayer","Drama,Romance,War"
"17","tt0036868","The Best Years of Our Lives","1946","Samuel Goldwyn Productions","Drama,Romance,War"
"18","tt0036872","Going My Way","1944","Paramount","Comedy,Drama,Music"
"19","tt0037884","The Lost Weekend","1945","Paramount","Drama,Film-Noir"
"20","tt0039416","Gentleman's Agreement","1947","20th Century-Fox","Drama,Romance"
"21","tt0040416","Hamlet","1948","J. Arthur Rank-Two Cities Films","Drama"
"22","tt0041113","All the King's Men","1949","Robert Rossen Productions","Drama,Film-Noir"
"23","tt0042192","All about Eve","1950","20th Century-Fox","Drama"
"24","tt0043278","An American in Paris","1951","Arthur Freed, Producer","Drama,Musical,Romance"
"25","tt0044672","The Greatest Show on Earth","1952","Cecil B. DeMille, Producer","Drama,Family,Romance"
"26","tt0045793","From Here to Eternity","1953","Buddy Adler, Producer","Drama,Romance,War"
"27","tt0047296","On the Waterfront","1954","Sam Spiegel, Producer","Crime,Drama,Thriller"
"28","tt0048356","Marty","1955","Harold Hecht, Producer","Drama,Romance"
"29","tt0048960","Around the World in 80 Days","1956","Michael Todd, Producer","Adventure,Comedy,Family"
"30","tt0050212","The Bridge on the River Kwai","1957","Sam Spiegel, Producer","Adventure,Drama,War"
"31","tt0051658","Gigi","1958","Arthur Freed, Producer","Comedy,Musical,Romance"
"32","tt0052618","Ben-Hur","1959","Sam Zimbalist, Producer","Adventure,Drama,History"
"33","tt0053604","The Apartment","1960","Billy Wilder, Producer","Comedy,Drama,Romance"
"34","tt0055614","West Side Story","1961","Robert Wise, Producer","Crime,Drama,Musical"
"35","tt0056172","Lawrence of Arabia","1962","Sam Spiegel, Producer","Adventure,Biography,Drama"
"36","tt0057590","Tom Jones","1963","Tony Richardson, Producer","Adventure,Comedy,History"
"37","tt0058385","My Fair Lady","1964","Jack L. Warner, Producer","Drama,Family,Musical"
"38","tt0059742","The Sound of Music","1965","Robert Wise, Producer","Biography,Drama,Family"
"39","tt0060665","A Man for All Seasons","1966","Fred Zinnemann, Producer","Biography,Drama,History"
"40","tt0061811","In the Heat of the Night","1967","Walter Mirisch, Producer","Crime,Drama,Mystery"
"41","tt0063385","Oliver!","1968","John Woolf, Producer","Drama,Family,Musical"
"42","tt0064665","Midnight Cowboy","1969","Jerome Hellman, Producer","Drama"
"43","tt0066026","MA*S*H","1970","Ingo Preminger, Producer","Comedy,Drama,War"
"44","tt0066206","Patton","1970","Frank McCarthy, Producer","Biography,Drama,War"
"45","tt0067116","The French Connection","1971","Philip D'Antoni, Producer","Action,Crime,Drama"
"46","tt0068646","The Godfather","1972","Albert S. Ruddy, Producer","Crime,Drama"
"47","tt0070735","The Sting","1973","Tony Bill, Michael Phillips and Julia Phillips, Producers","Comedy,Crime,Drama"
"48","tt0071562","The Godfather Part II","1974","Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers","Crime,Drama"
"49","tt0073486","One Flew over the Cuckoo's Nest","1975","Saul Zaentz and Michael Douglas, Producers","Drama"
"50","tt0075148","Rocky","1976","Irwin Winkler and Robert Chartoff, Producers","Drama,Sport"
"51","tt0075686","Annie Hall","1977","Charles H. Joffe, Producer","Comedy,Romance"
"52","tt0077416","The Deer Hunter","1978","Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers","Drama,War"
"53","tt0079417","Kramer vs. Kramer","1979","Stanley R. Jaffe, Producer","Drama"
"54","tt0081283","Ordinary People","1980","Ronald L. Schwary, Producer","Drama"
"55","tt0082158","Chariots of Fire","1981","David Puttnam, Producer","Biography,Drama,Sport"
"56","tt0083987","Gandhi","1982","Richard Attenborough, Producer","Biography,Drama,History"
"57","tt0086425","Terms of Endearment","1983","James L. Brooks, Producer","Comedy,Drama"
"58","tt0086879","Amadeus","1984","Saul Zaentz, Producer","Biography,Drama,History"
"59","tt0089755","Out of Africa","1985","Sydney Pollack, Producer","Biography,Drama,Romance"
"60","tt0091763","Platoon","1986","Arnold Kopelson, Producer","Drama,War"
"61","tt0093389","The Last Emperor","1987","Jeremy Thomas, Producer","Biography,Drama,History"
"62","tt0095953","Rain Man","1988","Mark Johnson, Producer","Drama"
"63","tt0097239","Driving Miss Daisy","1989","Richard D. Zanuck and Lili Fini Zanuck, Producers","Drama"
"64","tt0099348","Dances With Wolves","1990","Jim Wilson and Kevin Costner, Producers","Adventure,Drama,Western"
"65","tt0102926","The Silence of the Lambs","1991","Edward Saxon, Kenneth Utt and Ron Bozman, Producers","Crime,Drama,Thriller"
"66","tt0105695","Unforgiven","1992","Clint Eastwood, Producer","Drama,Western"
"67","tt0108052","Schindler's List","1993","Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers","Biography,Drama,History"
"68","tt0109830","Forrest Gump","1994","Wendy Finerman, Steve Tisch and Steve Starkey, Producers","Drama,Romance"
"69","tt0112573","Braveheart","1995","Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers","Biography,Drama,History"
"70","tt0116209","The English Patient","1996","Saul Zaentz, Producer","Drama,Romance,War"
"71","tt0120338","Titanic","1997","James Cameron and Jon Landau, Producers","Drama,Romance"
"72","tt0138097","Shakespeare in Love","1998","David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers","Comedy,Drama,History"
"73","tt0167260","The Lord of the Rings: The Return of the King","2003","Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers","Adventure,Drama,Fantasy"
"74","tt0169547","American Beauty","1999","Bruce Cohen and Dan Jinks, Producers","Drama"
"75","tt0172495","Gladiator","2000","Douglas Wick, David Franzoni and Branko Lustig, Producers","Action,Adventure,Drama"
"76","tt0268978","A Beautiful Mind","2001","Brian Grazer and Ron Howard, Producers","Biography,Drama"
"77","tt0299658","Chicago","2002","Martin Richards, Producer","Comedy,Crime,Musical"
"78","tt0375679","Crash","2005","Paul Haggis and Cathy Schulman, Producers","Crime,Drama,Thriller"
"79","tt0405159","Million Dollar Baby","2004","Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers","Drama,Sport"
"80","tt0407887","The Departed","2006","Graham King, Producer","Crime,Drama,Thriller"
"81","tt0477348","No Country for Old Men","2007","Scott Rudin, Ethan Coen and Joel Coen, Producers","Crime,Drama,Thriller"
"82","tt0887912","The Hurt Locker","2009","Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers","Drama,History,Thriller"
"83","tt1010048","Slumdog Millionaire","2008","Christian Colson, Producer","Drama"
"84","tt1024648","Argo","2012","Grant Heslov, Ben Affleck and George Clooney, Producers","Biography,Drama,Thriller"
"85","tt1504320","The King's Speech","2010","Iain Canning, Emile Sherman and Gareth Unwin, Producers","Biography,Drama"
"86","tt1655442","The Artist","2011","Thomas Langmann, Producer","Comedy,Drama,Romance"
"87","tt1825978","The Artist","2011","Thomas Langmann, Producer","Thriller"
"88","tt1895587","Spotlight","2015","Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers","Crime,Drama,History"
"89","tt2024544","12 Years a Slave","2013","Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers","Biography,Drama,History"
