"","Year","Ceremony","Award","Winner","Name","Film"
"20","1927/1928",1,"Outstanding Picture",NA,"The Caddo Company","The Racket"
"21","1927/1928",1,"Outstanding Picture",NA,"Fox","7th Heaven"
"22","1927/1928",1,"Outstanding Picture",1,"Paramount Famous Lasky","Wings"
"63","1928/1929",2,"Outstanding Picture",NA,"Feature Productions","Alibi"
"64","1928/1929",2,"Outstanding Picture",NA,"Fox","In Old Arizona"
"65","1928/1929",2,"Outstanding Picture",1,"Metro-Goldwyn-Mayer","The Broadway Melody"
"66","1928/1929",2,"Outstanding Picture",NA,"Metro-Goldwyn-Mayer","Hollywood Revue"
"67","1928/1929",2,"Outstanding Picture",NA,"Paramount Famous Lasky","The Patriot"
"101","1929/1930",3,"Outstanding Production",1,"All Quiet on the Western Front ","Universal"
"102","1929/1930",3,"Outstanding Production",NA,"The Big House ","Cosmopolitan"
"103","1929/1930",3,"Outstanding Production",NA,"Disraeli ","Warner Brothers"
"104","1929/1930",3,"Outstanding Production",NA,"The Divorcee ","Metro-Goldwyn-Mayer"
"105","1929/1930",3,"Outstanding Production",NA,"The Love Parade ","Paramount Famous Lasky"
"141","1930/1931",4,"Outstanding Production",1,"Cimarron ","RKO Radio"
"142","1930/1931",4,"Outstanding Production",NA,"East Lynne ","Fox"
"143","1930/1931",4,"Outstanding Production",NA,"The Front Page ","The Caddo Company"
"144","1930/1931",4,"Outstanding Production",NA,"Skippy ","Paramount Publix"
"145","1930/1931",4,"Outstanding Production",NA,"Trader Horn ","Metro-Goldwyn-Mayer"
"175","1931/1932",5,"Outstanding Production",NA,"Arrowsmith ","Samuel Goldwyn Productions"
"176","1931/1932",5,"Outstanding Production",NA,"Bad Girl ","Fox"
"177","1931/1932",5,"Outstanding Production",NA,"The Champ ","Metro-Goldwyn-Mayer"
"178","1931/1932",5,"Outstanding Production",NA,"Five Star Final ","First National"
"179","1931/1932",5,"Outstanding Production",1,"Grand Hotel ","Metro-Goldwyn-Mayer"
"180","1931/1932",5,"Outstanding Production",NA,"One Hour with You ","Paramount Publix"
"181","1931/1932",5,"Outstanding Production",NA,"Shanghai Express ","Paramount Publix"
"182","1931/1932",5,"Outstanding Production",NA,"The Smiling Lieutenant ","Paramount Publix"
"238","1932/1933",6,"Outstanding Production",1,"Cavalcade ","Fox"
"239","1932/1933",6,"Outstanding Production",NA,"A Farewell to Arms ","Paramount [Second]"
"240","1932/1933",6,"Outstanding Production",NA,"42nd Street ","Warner Brothers"
"241","1932/1933",6,"Outstanding Production",NA,"I Am a Fugitive from a Chain Gang ","Warner Brothers"
"242","1932/1933",6,"Outstanding Production",NA,"Lady for a Day ","Columbia"
"243","1932/1933",6,"Outstanding Production",NA,"Little Women ","RKO Radio [Third]"
"244","1932/1933",6,"Outstanding Production",NA,"The Private Life of Henry VIII ","London Films"
"245","1932/1933",6,"Outstanding Production",NA,"She Done Him Wrong ","Paramount"
"246","1932/1933",6,"Outstanding Production",NA,"Smilin' Through ","Metro-Goldwyn-Mayer"
"247","1932/1933",6,"Outstanding Production",NA,"State Fair ","Fox"
"295","1934",7,"Outstanding Production",NA,"The Barretts of Wimpole Street ","Metro-Goldwyn-Mayer [Second]"
"296","1934",7,"Outstanding Production",NA,"Cleopatra ","Paramount"
"297","1934",7,"Outstanding Production",NA,"Flirtation Walk ","First National"
"298","1934",7,"Outstanding Production",NA,"The Gay Divorcee ","RKO Radio"
"299","1934",7,"Outstanding Production",NA,"Here Comes the Navy ","Warner Brothers"
"300","1934",7,"Outstanding Production",NA,"The House of Rothschild ","20th Century [Third]"
"301","1934",7,"Outstanding Production",NA,"Imitation of Life ","Universal"
"302","1934",7,"Outstanding Production",1,"It Happened One Night ","Columbia"
"303","1934",7,"Outstanding Production",NA,"One Night of Love ","Columbia"
"304","1934",7,"Outstanding Production",NA,"The Thin Man ","Metro-Goldwyn-Mayer"
"305","1934",7,"Outstanding Production",NA,"Viva Villa! ","Metro-Goldwyn-Mayer"
"306","1934",7,"Outstanding Production",NA,"The White Parade ","Jesse L. Lasky (production company)"
"378","1935",8,"Outstanding Production",NA,"Alice Adams ","RKO Radio"
"379","1935",8,"Outstanding Production",NA,"Broadway Melody of 1936 ","Metro-Goldwyn-Mayer"
"380","1935",8,"Outstanding Production",NA,"Captain Blood ","Cosmopolitan [Third]"
"381","1935",8,"Outstanding Production",NA,"David Copperfield ","Metro-Goldwyn-Mayer"
"382","1935",8,"Outstanding Production",NA,"The Informer ","RKO Radio [Second]"
"383","1935",8,"Outstanding Production",NA,"Les Miserables ","20th Century"
"384","1935",8,"Outstanding Production",NA,"The Lives of a Bengal Lancer ","Paramount"
"385","1935",8,"Outstanding Production",NA,"A Midsummer Night's Dream ","Warner Brothers"
"386","1935",8,"Outstanding Production",1,"Mutiny on the Bounty ","Metro-Goldwyn-Mayer"
"387","1935",8,"Outstanding Production",NA,"Naughty Marietta ","Metro-Goldwyn-Mayer"
"388","1935",8,"Outstanding Production",NA,"Ruggles of Red Gap ","Paramount"
"389","1935",8,"Outstanding Production",NA,"Top Hat ","RKO Radio"
"481","1936",9,"Outstanding Production",NA,"Anthony Adverse ","Warner Brothers"
"482","1936",9,"Outstanding Production",NA,"Dodsworth ","Samuel Goldwyn Productions"
"483","1936",9,"Outstanding Production",1,"The Great Ziegfeld ","Metro-Goldwyn-Mayer"
"484","1936",9,"Outstanding Production",NA,"Libeled Lady ","Metro-Goldwyn-Mayer"
"485","1936",9,"Outstanding Production",NA,"Mr. Deeds Goes to Town ","Columbia"
"486","1936",9,"Outstanding Production",NA,"Romeo and Juliet ","Metro-Goldwyn-Mayer"
"487","1936",9,"Outstanding Production",NA,"San Francisco ","Metro-Goldwyn-Mayer"
"488","1936",9,"Outstanding Production",NA,"The Story of Louis Pasteur ","Cosmopolitan"
"489","1936",9,"Outstanding Production",NA,"A Tale of Two Cities ","Metro-Goldwyn-Mayer"
"490","1936",9,"Outstanding Production",NA,"Three Smart Girls ","Universal"
"600","1937",10,"Outstanding Production",NA,"The Awful Truth ","Columbia"
"601","1937",10,"Outstanding Production",NA,"Captains Courageous ","Metro-Goldwyn-Mayer"
"602","1937",10,"Outstanding Production",NA,"Dead End ","Samuel Goldwyn Productions"
"603","1937",10,"Outstanding Production",NA,"The Good Earth ","Metro-Goldwyn-Mayer"
"604","1937",10,"Outstanding Production",NA,"In Old Chicago ","20th Century-Fox"
"605","1937",10,"Outstanding Production",1,"The Life of Emile Zola ","Warner Brothers"
"606","1937",10,"Outstanding Production",NA,"Lost Horizon ","Columbia"
"607","1937",10,"Outstanding Production",NA,"One Hundred Men and a Girl ","Universal"
"608","1937",10,"Outstanding Production",NA,"Stage Door ","RKO Radio"
"609","1937",10,"Outstanding Production",NA,"A Star Is Born ","Selznick International Pictures"
"731","1938",11,"Outstanding Production",NA,"The Adventures of Robin Hood ","Warner Brothers-First National"
"732","1938",11,"Outstanding Production",NA,"Alexander's Ragtime Band ","20th Century-Fox"
"733","1938",11,"Outstanding Production",NA,"Boys Town ","Metro-Goldwyn-Mayer"
"734","1938",11,"Outstanding Production",NA,"The Citadel ","Metro-Goldwyn-Mayer"
"735","1938",11,"Outstanding Production",NA,"Four Daughters ","Warner Brothers-First National"
"736","1938",11,"Outstanding Production",NA,"Grand Illusion ","Realization D'Art Cinematographique"
"737","1938",11,"Outstanding Production",NA,"Jezebel ","Warner Brothers"
"738","1938",11,"Outstanding Production",NA,"Pygmalion ","Metro-Goldwyn-Mayer"
"739","1938",11,"Outstanding Production",NA,"Test Pilot ","Metro-Goldwyn-Mayer"
"740","1938",11,"Outstanding Production",1,"You Can't Take It with You ","Columbia"
"874","1939",12,"Outstanding Production",NA,"Dark Victory ","Warner Brothers-First National"
"875","1939",12,"Outstanding Production",1,"Gone with the Wind ","Selznick International Pictures"
"876","1939",12,"Outstanding Production",NA,"Goodbye, Mr. Chips ","Metro-Goldwyn-Mayer"
"877","1939",12,"Outstanding Production",NA,"Love Affair ","RKO Radio"
"878","1939",12,"Outstanding Production",NA,"Mr. Smith Goes to Washington ","Columbia"
"879","1939",12,"Outstanding Production",NA,"Ninotchka ","Metro-Goldwyn-Mayer"
"880","1939",12,"Outstanding Production",NA,"Of Mice and Men ","Hal Roach (production company)"
"881","1939",12,"Outstanding Production",NA,"Stagecoach ","Walter Wanger (production company)"
"882","1939",12,"Outstanding Production",NA,"The Wizard of Oz ","Metro-Goldwyn-Mayer"
"883","1939",12,"Outstanding Production",NA,"Wuthering Heights ","Samuel Goldwyn Productions"
"1027","1940",13,"Outstanding Production",NA,"All This, and Heaven Too ","Warner Brothers"
"1028","1940",13,"Outstanding Production",NA,"Foreign Correspondent ","Walter Wanger (production company)"
"1029","1940",13,"Outstanding Production",NA,"The Grapes of Wrath ","20th Century-Fox"
"1030","1940",13,"Outstanding Production",NA,"The Great Dictator ","Charles Chaplin Productions"
"1031","1940",13,"Outstanding Production",NA,"Kitty Foyle ","RKO Radio"
"1032","1940",13,"Outstanding Production",NA,"The Letter ","Warner Brothers"
"1033","1940",13,"Outstanding Production",NA,"The Long Voyage Home ","Argosy-Wanger"
"1034","1940",13,"Outstanding Production",NA,"Our Town ","Sol Lesser (production company)"
"1035","1940",13,"Outstanding Production",NA,"The Philadelphia Story ","Metro-Goldwyn-Mayer"
"1036","1940",13,"Outstanding Production",1,"Rebecca ","Selznick International Pictures"
"1200","1941",14,"Outstanding Motion Picture",NA,"Blossoms in the Dust ","Metro-Goldwyn-Mayer"
"1201","1941",14,"Outstanding Motion Picture",NA,"Citizen Kane ","Mercury"
"1202","1941",14,"Outstanding Motion Picture",NA,"Here Comes Mr. Jordan ","Columbia"
"1203","1941",14,"Outstanding Motion Picture",NA,"Hold Back the Dawn ","Paramount"
"1204","1941",14,"Outstanding Motion Picture",1,"How Green Was My Valley ","20th Century-Fox"
"1205","1941",14,"Outstanding Motion Picture",NA,"The Little Foxes ","Samuel Goldwyn Productions"
"1206","1941",14,"Outstanding Motion Picture",NA,"The Maltese Falcon ","Warner Brothers"
"1207","1941",14,"Outstanding Motion Picture",NA,"One Foot in Heaven ","Warner Brothers"
"1208","1941",14,"Outstanding Motion Picture",NA,"Sergeant York ","Warner Brothers"
"1209","1941",14,"Outstanding Motion Picture",NA,"Suspicion ","RKO Radio"
"1394","1942",15,"Outstanding Motion Picture",NA,"The Invaders ","Ortus"
"1395","1942",15,"Outstanding Motion Picture",NA,"Kings Row ","Warner Brothers"
"1396","1942",15,"Outstanding Motion Picture",NA,"The Magnificent Ambersons ","Mercury"
"1397","1942",15,"Outstanding Motion Picture",1,"Mrs. Miniver ","Metro-Goldwyn-Mayer"
"1398","1942",15,"Outstanding Motion Picture",NA,"The Pied Piper ","20th Century-Fox"
"1399","1942",15,"Outstanding Motion Picture",NA,"The Pride of the Yankees ","Samuel Goldwyn Productions"
"1400","1942",15,"Outstanding Motion Picture",NA,"Random Harvest ","Metro-Goldwyn-Mayer"
"1401","1942",15,"Outstanding Motion Picture",NA,"The Talk of the Town ","Columbia"
"1402","1942",15,"Outstanding Motion Picture",NA,"Wake Island ","Paramount"
"1403","1942",15,"Outstanding Motion Picture",NA,"Yankee Doodle Dandy ","Warner Brothers"
"1580","1943",16,"Outstanding Motion Picture",1,"Casablanca ","Warner Brothers"
"1581","1943",16,"Outstanding Motion Picture",NA,"For Whom the Bell Tolls ","Paramount"
"1582","1943",16,"Outstanding Motion Picture",NA,"Heaven Can Wait ","20th Century-Fox"
"1583","1943",16,"Outstanding Motion Picture",NA,"The Human Comedy ","Metro-Goldwyn-Mayer"
"1584","1943",16,"Outstanding Motion Picture",NA,"In Which We Serve ","Two Cities"
"1585","1943",16,"Outstanding Motion Picture",NA,"Madame Curie ","Metro-Goldwyn-Mayer"
"1586","1943",16,"Outstanding Motion Picture",NA,"The More the Merrier ","Columbia"
"1587","1943",16,"Outstanding Motion Picture",NA,"The Ox-Bow Incident ","20th Century-Fox"
"1588","1943",16,"Outstanding Motion Picture",NA,"The Song of Bernadette ","20th Century-Fox"
"1589","1943",16,"Outstanding Motion Picture",NA,"Watch on the Rhine ","Warner Brothers"
"1753","1944",17,"Best Motion Picture",NA,"Double Indemnity ","Paramount"
"1754","1944",17,"Best Motion Picture",NA,"Gaslight ","Metro-Goldwyn-Mayer"
"1755","1944",17,"Best Motion Picture",1,"Going My Way ","Paramount"
"1756","1944",17,"Best Motion Picture",NA,"Since You Went Away ","Selznick International Pictures"
"1757","1944",17,"Best Motion Picture",NA,"Wilson ","20th Century-Fox"
"1911","1945",18,"Best Motion Picture",NA,"Anchors Aweigh ","Metro-Goldwyn-Mayer"
"1912","1945",18,"Best Motion Picture",NA,"The Bells of St. Mary's ","Rainbow Productions"
"1913","1945",18,"Best Motion Picture",1,"The Lost Weekend ","Paramount"
"1914","1945",18,"Best Motion Picture",NA,"Mildred Pierce ","Warner Brothers"
"1915","1945",18,"Best Motion Picture",NA,"Spellbound ","Selznick International Pictures"
"2029","1946",19,"Best Motion Picture",1,"The Best Years of Our Lives ","Samuel Goldwyn Productions"
"2030","1946",19,"Best Motion Picture",NA,"Henry V ","J. Arthur Rank-Two Cities Films"
"2031","1946",19,"Best Motion Picture",NA,"It's a Wonderful Life ","Liberty Films"
"2032","1946",19,"Best Motion Picture",NA,"The Razor's Edge ","20th Century-Fox"
"2033","1946",19,"Best Motion Picture",NA,"The Yearling ","Metro-Goldwyn-Mayer"
"2134","1947",20,"Best Motion Picture",NA,"The Bishop's Wife ","Samuel Goldwyn Productions"
"2135","1947",20,"Best Motion Picture",NA,"Crossfire ","RKO Radio"
"2136","1947",20,"Best Motion Picture",1,"Gentleman's Agreement ","20th Century-Fox"
"2137","1947",20,"Best Motion Picture",NA,"Great Expectations ","J. Arthur Rank-Cineguild"
"2138","1947",20,"Best Motion Picture",NA,"Miracle on 34th Street ","20th Century-Fox"
"2245","1948",21,"Best Motion Picture",1,"Hamlet ","J. Arthur Rank-Two Cities Films"
"2246","1948",21,"Best Motion Picture",NA,"Johnny Belinda ","Warner Brothers"
"2247","1948",21,"Best Motion Picture",NA,"The Red Shoes ","J. Arthur Rank-Archers"
"2248","1948",21,"Best Motion Picture",NA,"The Snake Pit ","20th Century-Fox"
"2249","1948",21,"Best Motion Picture",NA,"The Treasure of the Sierra Madre ","Warner Brothers"
"2354","1949",22,"Best Motion Picture",1,"All the King's Men ","Robert Rossen Productions"
"2355","1949",22,"Best Motion Picture",NA,"Battleground ","Metro-Goldwyn-Mayer"
"2356","1949",22,"Best Motion Picture",NA,"The Heiress ","Paramount"
"2357","1949",22,"Best Motion Picture",NA,"A Letter to Three Wives ","20th Century-Fox"
"2358","1949",22,"Best Motion Picture",NA,"Twelve O'Clock High ","20th Century-Fox"
"2471","1950",23,"Best Motion Picture",1,"All about Eve ","20th Century-Fox"
"2472","1950",23,"Best Motion Picture",NA,"Born Yesterday ","Columbia"
"2473","1950",23,"Best Motion Picture",NA,"Father of the Bride ","Metro-Goldwyn-Mayer"
"2474","1950",23,"Best Motion Picture",NA,"King Solomon's Mines ","Metro-Goldwyn-Mayer"
"2475","1950",23,"Best Motion Picture",NA,"Sunset Blvd. ","Paramount"
"2591","1951",24,"Best Motion Picture",1,"An American in Paris ","Arthur Freed, Producer"
"2592","1951",24,"Best Motion Picture",NA,"Decision before Dawn ","Anatole Litvak and Frank McCarthy, Producers"
"2593","1951",24,"Best Motion Picture",NA,"A Place in the Sun ","George Stevens, Producer"
"2594","1951",24,"Best Motion Picture",NA,"Quo Vadis ","Sam Zimbalist, Producer"
"2595","1951",24,"Best Motion Picture",NA,"A Streetcar Named Desire ","Charles K. Feldman, Producer"
"2711","1952",25,"Best Motion Picture",1,"The Greatest Show on Earth ","Cecil B. DeMille, Producer"
"2712","1952",25,"Best Motion Picture",NA,"High Noon ","Stanley Kramer, Producer"
"2713","1952",25,"Best Motion Picture",NA,"Ivanhoe ","Pandro S. Berman, Producer"
"2714","1952",25,"Best Motion Picture",NA,"Moulin Rouge ","Romulus Films"
