Genre,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sport,0.003611195,0.002407463,0.003009329,0.002407463,0.00421306,0.002708396,0.002708396,0.008125188,0.003611195,0.002708396,0.003310262,0.003912128,0.004513993,0.006319591,0.002407463,0.00421306,0.003310262,0.002708396,0.001203732,0.001203732,0.000300933,0.000300933,0.002708396,0.004814926,0.00421306,0.004814926,0.006319591,0.004513993,0.005416792,0.003009329,0.003912128,0.003912128,0.003009329,0.001504664,0.001504664,0.001805597,0.002708396,0.001504664,0.003009329,0.005115859,0.00421306,0.004814926,0.003310262,0.005717725,0.004513993,0.006319591,0.003310262,0.007824255,0.006018658,0.004814926,0.003310262,0.006018658,0.006921457,0.007523322,0.00932892,0.00421306,0.003310262,0.005416792,0.005416792,0.005115859,0.006319591,0.008727054,0.004814926,0.006319591,0.005416792,0.005115859,0.005115859,0.007824255,0.005115859,0.008125188,0.00421306,0.009027987,0.006921457,0.009629853,0.008727054,0.012037316,0.010532651,0.01354198,0.010833584,0.016250376,0.023171833,0.027685826,0.033403551,0.042732471,0.04995486,0.053566055,0.064700572,0.064098706,0.080650015,0.082455612,0.072524827
Animation,0.002439024,0.000731707,0.000487805,0.000487805,0,0.00097561,0.00097561,0.001463415,0.000243902,0.000487805,0.001219512,0.001219512,0.00097561,0.00097561,0.000243902,0.001219512,0.00195122,0.000243902,0.00097561,0.003414634,0.002195122,0.001219512,0.002195122,0.002926829,0.002195122,0.002195122,0.002682927,0.001707317,0.00195122,0.001707317,0.00195122,0.00097561,0.00097561,0.000731707,0.002926829,0.001463415,0.003414634,0.003414634,0.00195122,0.002439024,0.004146341,0.003902439,0.005121951,0.005121951,0.003902439,0.006097561,0.004634146,0.004146341,0.005609756,0.004390244,0.004878049,0.004390244,0.006585366,0.007560976,0.00804878,0.006829268,0.009512195,0.012195122,0.011463415,0.01097561,0.011463415,0.015365854,0.01097561,0.009512195,0.00804878,0.008536585,0.012439024,0.009756098,0.009512195,0.011707317,0.011219512,0.013902439,0.016341463,0.014146341,0.018780488,0.02,0.017560976,0.018292683,0.018780488,0.020243902,0.021463415,0.02804878,0.035853659,0.032926829,0.04,0.04804878,0.061219512,0.059268293,0.06195122,0.068536585,0.074634146
Sci-Fi,0.001080108,0,0.000180018,0,0.000720072,0.000360036,0.00090009,0.001080108,0.001620162,0.001080108,0.001980198,0.002160216,0.00090009,0.001620162,0.001440144,0.001440144,0.001080108,0.000720072,0.00090009,0.001260126,0.001080108,0.000360036,0.000540054,0.000720072,0.000720072,0.001080108,0.003240324,0.002160216,0.004320432,0.003960396,0.003420342,0.00540054,0.006660666,0.008640864,0.006120612,0.004140414,0.004680468,0.004860486,0.005220522,0.004680468,0.007020702,0.008280828,0.008280828,0.007560756,0.007380738,0.006480648,0.006480648,0.006120612,0.005580558,0.005940594,0.005940594,0.005580558,0.008460846,0.007560756,0.010261026,0.009360936,0.007920792,0.00990099,0.01170117,0.012061206,0.010441044,0.013681368,0.014941494,0.01710171,0.014221422,0.01350135,0.01260126,0.01080108,0.010441044,0.01080108,0.016381638,0.017461746,0.018181818,0.014581458,0.01260126,0.014041404,0.015841584,0.014941494,0.014041404,0.018721872,0.019081908,0.019441944,0.025922592,0.025022502,0.034563456,0.043384338,0.04770477,0.051305131,0.064086409,0.063726373,0.070027003
Western,0.039518592,0.029100054,0.025148195,0.023890785,0.015627807,0.013831507,0.015088917,0.017244476,0.010418538,0.009340758,0.021016706,0.018681516,0.018681516,0.015088917,0.019040776,0.020657446,0.017603736,0.019220406,0.015987067,0.015987067,0.013472247,0.015627807,0.015088917,0.018861146,0.018322256,0.023172265,0.019220406,0.019220406,0.015088917,0.013292617,0.014190767,0.014909287,0.014370397,0.012214837,0.009340758,0.011137058,0.011675948,0.011496318,0.008622238,0.014909287,0.019400036,0.024788935,0.019220406,0.021196336,0.017783366,0.016166697,0.020477816,0.019938926,0.012933357,0.006107419,0.009520388,0.006825939,0.003412969,0.003592599,0.004670379,0.00215556,0.002514819,0.002694449,0.00161667,0.00143704,0.00233519,0.00233519,0.0017963,0.00071852,0.00143704,0.0017963,0.00233519,0.0017963,0.00197593,0.002874079,0.003412969,0.00071852,0.00035926,0.0017963,0.00161667,0.00197593,0.00125741,0.00197593,0.002694449,0.0017963,0.003772229,0.002874079,0.003772229,0.004670379,0.005029639,0.007364828,0.007724088,0.007903718,0.007724088,0.010957428,0.009340758
War,0.001263025,0.003157562,0.004420587,0.004578465,0.002683928,0.00331544,0.003631197,0.002841806,0.004894222,0.002683928,0.00252605,0.00331544,0.006788759,0.008525418,0.007104515,0.007262393,0.008683296,0.01926113,0.021155668,0.017050837,0.012630249,0.010262078,0.005367856,0.007262393,0.007893906,0.008209662,0.009788443,0.006788759,0.009472687,0.007420272,0.009156931,0.009946321,0.009314809,0.014366909,0.01594569,0.014366909,0.015156299,0.014840543,0.013577518,0.015787812,0.019419009,0.014840543,0.012946006,0.017366593,0.016735081,0.016261446,0.011367225,0.009156931,0.011051468,0.010262078,0.01089359,0.010735712,0.008999053,0.008209662,0.0101042,0.009788443,0.010735712,0.008841175,0.012472371,0.009788443,0.013103884,0.01089359,0.010419956,0.011525103,0.011998737,0.010419956,0.008051784,0.006788759,0.007736028,0.006157247,0.009156931,0.007736028,0.008051784,0.008051784,0.007262393,0.007262393,0.009472687,0.009788443,0.008683296,0.014998421,0.012156615,0.014366909,0.020682033,0.019576887,0.017998105,0.02178718,0.021313546,0.020839912,0.01847174,0.026207768,0.026365646
Fantasy,0.001244641,0.001106348,0.00041488,0.00041488,0.000138293,0.001382935,0.000968054,0.001521228,0.001659522,0.001521228,0.002212695,0.001659522,0.001797815,0.000968054,0.002212695,0.003457336,0.002350989,0.001244641,0.001797815,0.00318075,0.002904163,0.00318075,0.002765869,0.00318075,0.00401051,0.004287097,0.004701978,0.004840271,0.004840271,0.006638086,0.006499793,0.005255151,0.009127368,0.006223206,0.006776379,0.006914673,0.00719126,0.006776379,0.006499793,0.009127368,0.007329553,0.008712488,0.008021021,0.009265662,0.010372009,0.011478357,0.009403955,0.009265662,0.009818836,0.010233716,0.00760614,0.00719126,0.008989075,0.009127368,0.010095422,0.009403955,0.009127368,0.011340064,0.011754944,0.010925183,0.012722998,0.012446411,0.015073987,0.016318628,0.0147974,0.014520813,0.01839303,0.012031531,0.011754944,0.013552759,0.011893237,0.011893237,0.010648596,0.012031531,0.012584705,0.014520813,0.015903748,0.018531323,0.017701563,0.017286682,0.019914258,0.022265247,0.022680127,0.025169409,0.031807496,0.034849952,0.042594385,0.041764625,0.04397732,0.049094178,0.048817591
Music,0,0,0.000138274,0.000276549,0.001244469,0.002903761,0.00096792,0.00096792,0.002488938,0.002627212,0.004839602,0.004563053,0.007466814,0.007190265,0.006637168,0.005807522,0.007743363,0.008711283,0.008019912,0.006775442,0.005530973,0.007881637,0.006360619,0.005530973,0.004701327,0.002488938,0.005254425,0.005254425,0.005807522,0.005392699,0.004286504,0.00511615,0.003595133,0.003456858,0.002627212,0.002212389,0.002765487,0.003871681,0.002212389,0.00318031,0.003456858,0.003042035,0.004424779,0.002212389,0.003595133,0.006222345,0.003456858,0.004009956,0.00511615,0.003733407,0.00511615,0.004286504,0.003595133,0.004286504,0.005669248,0.006498894,0.005392699,0.005669248,0.006637168,0.007881637,0.006775442,0.006913717,0.006498894,0.007466814,0.006222345,0.005254425,0.006913717,0.007605088,0.007190265,0.006637168,0.004977876,0.007190265,0.008434735,0.009126106,0.010370575,0.012997788,0.010923673,0.012721239,0.014103982,0.017560841,0.021570796,0.024198009,0.025995575,0.034015487,0.046875,0.053097345,0.06761615,0.071764381,0.073838496,0.080475664,0.06346792
Musical,0.000259067,0.000259067,0.000259067,0.000647668,0.009196891,0.018911917,0.010621762,0.008290155,0.010492228,0.014766839,0.015803109,0.016839378,0.016321244,0.014896373,0.01126943,0.011139896,0.012046632,0.008549223,0.011658031,0.013860104,0.010492228,0.01126943,0.010103627,0.008937824,0.011658031,0.011917098,0.015544041,0.013601036,0.014637306,0.013860104,0.013471503,0.01619171,0.016062176,0.015803109,0.016709845,0.015932642,0.013989637,0.015673575,0.015284974,0.018264249,0.015544041,0.016839378,0.019559585,0.014766839,0.013989637,0.015284974,0.012176166,0.012176166,0.00880829,0.009974093,0.009326425,0.007901554,0.006735751,0.008031088,0.008419689,0.010492228,0.009585492,0.00880829,0.009326425,0.00738342,0.008549223,0.006476684,0.007642487,0.007772021,0.004404145,0.005310881,0.005181347,0.005051813,0.005310881,0.004792746,0.00492228,0.004404145,0.00492228,0.003626943,0.004663212,0.008419689,0.007512953,0.008419689,0.007642487,0.007512953,0.009326425,0.01126943,0.010492228,0.012046632,0.013471503,0.017875648,0.017875648,0.018005181,0.018264249,0.01865285,0.019559585
History,0.001408616,0.001526001,0.001878155,0.003286771,0.002230309,0.001056462,0.001056462,0.001643385,0.001526001,0.002465078,0.002699847,0.003873694,0.003873694,0.003638925,0.00352154,0.003404155,0.002934617,0.003756309,0.00352154,0.002934617,0.002112924,0.00176077,0.003052001,0.002230309,0.003169386,0.00352154,0.003756309,0.00352154,0.005517079,0.005164925,0.005869233,0.003991079,0.003169386,0.004108463,0.004930156,0.004225848,0.004812771,0.005047541,0.004578002,0.005399695,0.004695387,0.004812771,0.004578002,0.004812771,0.005517079,0.005517079,0.006573541,0.006338772,0.00727785,0.00528231,0.005164925,0.004695387,0.004343233,0.005047541,0.005517079,0.006104003,0.006456157,0.004930156,0.005751849,0.005869233,0.004695387,0.003873694,0.005517079,0.004812771,0.006456157,0.005399695,0.006573541,0.006104003,0.006690926,0.004695387,0.005399695,0.006221387,0.008569081,0.004578002,0.007160465,0.006808311,0.005164925,0.00704308,0.007747388,0.009156004,0.012442775,0.014438314,0.0176077,0.01960324,0.039558634,0.07113511,0.076652189,0.089799272,0.105528818,0.109519897,0.079586806
Mystery,0.001275954,0.002203921,0.001971929,0.002435912,0.004523837,0.003595871,0.004639833,0.006843754,0.006263775,0.00777172,0.007539729,0.007655724,0.006495766,0.007887716,0.007191741,0.006147779,0.007075745,0.007075745,0.005451804,0.005335808,0.006495766,0.007423733,0.006843754,0.005799791,0.004059854,0.004639833,0.003015891,0.00417585,0.003943858,0.004407841,0.003827862,0.002899896,0.004871825,0.0055678,0.007075745,0.005335808,0.0055678,0.007191741,0.006495766,0.007075745,0.006959749,0.006495766,0.007191741,0.006263775,0.006263775,0.006263775,0.007887716,0.008815683,0.005335808,0.006263775,0.008699687,0.005683795,0.006031783,0.007539729,0.006727758,0.00637977,0.00777172,0.006611762,0.007075745,0.006959749,0.006843754,0.006147779,0.008119708,0.009511658,0.009511658,0.008351699,0.00916367,0.008699687,0.007075745,0.009511658,0.010091637,0.008931678,0.010207633,0.011599582,0.009743649,0.012179562,0.015195453,0.01554344,0.015311449,0.019371303,0.021923211,0.022619186,0.024243127,0.027027027,0.032594827,0.040134555,0.042686463,0.047326296,0.056605962,0.0583459,0.062057766
