,won,nom1,nom2,nom3,nom4,nom5,nom6,nom7,nom8,nom9,nom10,nom11,nom12,nom13,nom14,nom15,nom16,nom17,nom18
1,"Biography,Drama,History",,Adventure,,Biography,Comedy,Crime,Drama,,,History,,,Romance,Sci-Fi,,Thriller,,
2,"Biography,Drama",Action,Adventure,Animation,Biography,Comedy,,Drama,,,,,,Romance,Sci-Fi,Sport,Thriller,,Western
3,"Biography,Drama",,Adventure,,Biography,Comedy,Crime,Drama,,Fantasy,,Mystery,,,,,,,
4,NA,Action,Adventure,Animation,Biography,Comedy,,Drama,,Fantasy,,,,Romance,Sci-Fi,Sport,Thriller,War,
5,"Comedy,Drama",Action,Adventure,,Biography,Comedy,,Drama,,,History,,Music,Romance,,,Thriller,War,
6,"Biography,Drama,Thriller",,Adventure,,Biography,Comedy,,Drama,,Fantasy,History,,Musical,Romance,,,Thriller,,Western
7,"Crime,Drama,Thriller",,,,,Comedy,Crime,Drama,,,History,Mystery,,Romance,,,Thriller,,
8,"Crime,Drama,Thriller",,,,Biography,Comedy,Crime,Drama,,,History,,,,,,Thriller,,
9,"Crime,Drama,History",Action,Adventure,,Biography,Comedy,Crime,Drama,,,History,,,Romance,Sci-Fi,,Thriller,,
10,NA,,,,Biography,,Crime,Drama,,,History,,,Romance,,,Thriller,,
11,"Comedy,Crime,Musical",,Adventure,,Biography,Comedy,Crime,Drama,,Fantasy,,,Music,Romance,,,,,
12,"Action,Adventure,Drama",Action,Adventure,,Biography,,Crime,Drama,,,,,,Romance,,,Thriller,,
13,"Thriller,Comedy,Drama,Romance",,Adventure,,Biography,Comedy,,Drama,Family,Fantasy,,Mystery,,Romance,,Sport,Thriller,War,
14,"Drama,Sport",,,,Biography,Comedy,,Drama,Family,,History,,Music,Romance,,Sport,,,
15,Drama,,,,Biography,,,Drama,,Fantasy,,,,Romance,,,,,
16,"Adventure,Drama,Fantasy",Action,Adventure,,,,Crime,Drama,,Fantasy,History,Mystery,,,,Sport,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
