id,tconst,X,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,avgRV
82,tt0172495,166838,Gladiator,Gladiator,2000,"Action,Adventure,Drama",8.5,1098315,7.74E-06
2,tt0172495,166838,Gladiator,Gladiator,2000,"Action,Adventure,Drama",8.5,1098315,7.74E-06
6,tt0120737,118005,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.8,1373159,6.41E-06
341,tt0268978,258091,A Beautiful Mind,A Beautiful Mind,2001,"Biography,Drama",8.2,694560,1.18E-05
17,tt0167261,161899,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.7,1224753,7.10E-06
360,tt0299658,287506,Chicago,Chicago,2002,"Comedy,Crime,Musical",7.2,187366,3.84E-05
5,tt0167260,161898,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",8.9,1352979,6.58E-06
8,tt0167260,161898,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",8.9,1352979,6.58E-06
104,tt0338013,324553,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,748205,1.11E-05
530,tt0405159,389263,Million Dollar Baby,Million Dollar Baby,2004,"Drama,Sport",8.1,537101,1.51E-05
105,tt0372784,358060,Batman Begins,Batman Begins,2005,"Action,Adventure,Thriller",8.3,1092342,7.60E-06
91,tt0407887,391925,The Departed,The Departed,2006,"Crime,Drama,Thriller",8.5,977711,8.69E-06
13,tt0407887,391925,The Departed,The Departed,2006,"Crime,Drama,Thriller",8.5,977711,8.69E-06
203,tt0477348,459603,No Country for Old Men,No Country for Old Men,2007,"Crime,Drama,Thriller",8.1,691466,1.17E-05
15,tt0477348,459603,No Country for Old Men,No Country for Old Men,2007,"Crime,Drama,Thriller",8.1,691466,1.17E-05
80,tt0468569,451072,The Dark Knight,The Dark Knight,2008,"Action,Crime,Drama",9,1868732,4.82E-06
407,tt1010048,979709,Slumdog Millionaire,Slumdog Millionaire,2008,Drama,8,698278,1.15E-05
3,tt0361748,347421,Inglourious Basterds,Inglourious Basterds,2009,"Adventure,Drama,War",8.3,1007142,8.24E-06
350,tt1375666,1329556,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1657391,5.31E-06
527,tt1504320,1454048,The King's Speech,The King's Speech,2010,"Biography,Drama",8,551915,1.45E-05
78,tt1201607,1162911,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Drama,Fantasy",8.1,620395,1.31E-05
427,tt1655442,1599923,The Artist,The Artist,2011,"Comedy,Drama,Romance",7.9,205036,3.85E-05
81,tt1345836,1300813,The Dark Knight Rises,The Dark Knight Rises,2012,"Action,Thriller",8.4,1272095,6.60E-06
30,tt1024648,993734,Argo,Argo,2012,"Biography,Drama,Thriller",7.7,498201,1.55E-05
24,tt0993846,963927,The Wolf of Wall Street,The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,914806,8.96E-06
301,tt2024544,1955036,12 Years a Slave,12 Years a Slave,2013,"Biography,Drama,History",8.1,514819,1.57E-05
11,tt0816692,792471,Interstellar,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1124329,7.65E-06
448,tt2562232,2364106,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy,Drama",7.8,464857,1.68E-05
194,tt2488496,2334543,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Fantasy",8,715615,1.12E-05
85,tt1895587,1830470,Spotlight,Spotlight,2015,"Crime,Drama,History",8.1,299438,2.71E-05
